,stock_market_index,duration_in_months,start_value_index,end_value_index,monthly_contribution,realized_profits,reinvestment,transaction_cost,transaction_cost_sum,remaining_tax_free_capital_gain,realized_tax_free_capital_gain,tax_free_capital_gain_count,investment_value_at_end,still_to_be_taxed_value_at_end,transaction_cost_reinvested_sum,investment_value_at_end_without_selling,still_to_be_taxed_value_at_end_without_selling,still_to_be_taxed_value_at_end_difference,geometric_mean_return_of_index_in_percent_per_year,tax_savings,loss_due_to_strategy,tax_savings_minus_cost_of_strategy,tax_savings_minus_cost_of_strategy_relative_to_investment_sum,tax_free_capital_gain_count_relative
count,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0,17700.0
mean,0.5,199.32203389830508,611669.0180790961,1323159.02259887,240.0,7873.812155951076,37583.68067226574,0.015,563.5147542345657,5363.052250828586,7873.812155951076,8.995310734463278,81458.07128738242,24699.119599557976,884.7620233760466,82342.83331075846,34505.545175165236,9806.425575607265,8.98953898091979,7219.98083004085,-884.7620233760464,6335.218806664803,0.13269927518562857,0.5318004767829047
std,0.5000141248923005,74.4688954227841,344688.1698716508,608765.9127724718,84.85521081609672,4999.754929697296,30262.626972752118,0.005000141248923006,513.3383280319574,2315.103784129295,4999.754929697296,6.146812108819775,58923.73579960888,32030.20973947398,1021.3724353705865,59508.343342055436,37241.55115178346,7760.423900643663,6.50007692632107,5713.612096848897,1021.372435370586,4945.662893117697,0.08251401354539215,0.2448471121507217
min,0.0,120.0,100000.0,240312.0,120.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,9165.273419388734,-30478.919328311047,0.0,9223.96142385143,-15595.524371812897,-1.8189894035458565e-12,-3.6771827593901705,-1.339230948360637e-12,-10349.611091297178,-6.269091500788449,-0.00014511785881490754,0.0
25%,0.0,120.0,357847.0,966421.0,180.0,4111.200963350184,17470.752879707896,0.01,225.22639093464528,3542.449242011259,4111.200963350184,4.0,39063.85564274727,3040.4608764337117,281.4911902655143,39545.0381985267,8366.065820010237,4253.168693685588,4.8065231083855355,3131.3954507260146,-1090.850666262576,2723.5315631399453,0.07635676668108862,0.35714285714285715
50%,0.5,180.0,506778.0,1137805.0,240.0,6880.807191046473,28923.558263453353,0.015,416.2174214112831,5554.619146854491,6880.807191046473,8.0,63474.33066015273,13838.326167166935,550.8117756213653,64260.61391170889,22769.68499640699,7837.36068094868,8.23455771571577,5770.256801348466,-550.8117756213687,5127.7370043338,0.11922463046355214,0.5555555555555556
75%,1.0,240.0,830549.0,1662794.0,300.0,11214.0,50198.345897336134,0.02,724.3116025116497,7077.264441354208,11214.0,13.0,106836.42870495984,36104.79466585287,1090.8506662625744,107691.08422831167,48748.58994419915,13365.808020044107,11.665054193331759,9840.576154757475,-281.4911902655149,8782.093099468182,0.17542016891705225,0.7083333333333334
max,1.0,360.0,1682351.0,3231727.0,360.0,22751.726191267957,219233.1275375964,0.02,4259.352827154355,11993.436578507099,22751.726191267957,28.0,377404.49375654286,217950.08230100144,10349.6110912972,380276.88884404436,250676.88884404436,64469.545628170454,57.093450000000004,47465.7029687405,7.275957614183426e-12,42964.31842302614,0.6166788089927159,1.1111111111111112
