,stock_market_index,duration_in_months,start_value_index,end_value_index,monthly_contribution,realized_profits,reinvestment,transaction_cost,transaction_cost_sum,remaining_tax_free_capital_gain,realized_tax_free_capital_gain,tax_free_capital_gain_count,investment_value_at_end,still_to_be_taxed_value_at_end,transaction_cost_reinvested_sum,investment_value_at_end_without_selling,still_to_be_taxed_value_at_end_without_selling,still_to_be_taxed_value_at_end_difference,geometric_mean_return_of_index_in_percent_per_year,tax_savings,loss_due_to_strategy,tax_savings_minus_cost_of_strategy,tax_savings_minus_cost_of_strategy_relative_to_investment_sum,tax_free_capital_gain_count_relative
count,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0,354.0
mean,0.5,240.0,557953.1723163842,1386818.536723164,240.0,10600.320546257464,48145.95248661261,0.009999999999999998,481.45952486612606,5351.7980978103315,10600.320546257464,12.415254237288135,100554.53795427892,31331.734107797107,733.0828415907733,101287.62079586969,43687.62079586968,12355.886688072575,9.589483486878066,9097.021574093435,-733.0828415907719,8363.938732502662,0.14520726966150457,0.6534344335414808
std,0.500707714437725,0.0,306521.18320752634,561129.8751472419,0.0,1907.3284317833757,26256.471101776708,1.7371788536756256e-18,262.5647110177671,1909.0704133200293,1907.3284317833757,2.462154119807398,23831.145775158362,24204.001015760143,398.947241008001,23901.76457014461,23901.764570144613,3593.444258585363,7.250129289040351,2645.673335383474,398.94724100800175,2437.2313565014174,0.04231304438370515,0.1295870589372315
min,0.0,240.0,100000.0,499304.0,240.0,6409.25930760331,16686.087040589446,0.01,166.86087040589447,1446.8107259547905,6409.259307603311,8.0,52950.920333542956,-26034.18093321224,179.28336557782228,53645.570696563445,-3954.4293034365473,6529.482563988131,1.761244369057038,4807.331537736262,-1890.8143110955425,4579.508536809898,0.0795053565418385,0.42105263157894735
25%,0.0,240.0,339980.0,1002665.25,240.0,9237.407049043806,27720.567190732654,0.01,277.2056719073265,3757.9988013088005,9237.407049043806,11.0,84992.25230436107,16476.541232886273,403.42743680918966,85620.13337128691,28020.13337128691,9779.666239487156,5.4015755903743425,7200.27926882242,-947.9271664620464,6588.924260027186,0.11439104618102754,0.5789473684210527
50%,0.5,240.0,491985.5,1174477.5,240.0,10514.936618685457,43988.18987573809,0.01,439.88189875738095,5436.419169837845,10514.936618685455,12.0,94865.47589604082,26357.76604498198,698.3594031688019,95380.88661042362,37780.88661042363,11415.788158310555,7.883847564771026,8404.874031556148,-698.3594031687826,7658.759011515195,0.1329645661721388,0.631578947368421
75%,1.0,240.0,660700.75,1690127.0,240.0,12182.796552092848,60314.75461759223,0.01,603.1475461759222,6608.122307591508,12182.796552092848,15.0,111059.95902520687,43569.266852837616,947.9271664620435,111708.1380297572,54108.13802975722,14405.281951236959,11.068682768709627,10605.888836598213,-403.42743680919375,9783.241687049303,0.16984794595571706,0.7894736842105263
max,1.0,240.0,1431938.0,3231727.0,240.0,14573.18927404521,140277.15504901716,0.01,1402.7715504901716,9569.819809702749,14573.18927404521,18.0,215876.10343795357,141161.54897279304,1890.8143110955311,217766.9177490491,160166.91774904908,23839.6718078416,57.093450000000004,17551.95836852338,-179.28336557780858,16480.915321479028,0.2861270021090109,0.9473684210526315
